Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,125,6,44,0,1,Corporate Auto,Corporate L3,Offer1,Agent,900,SUV,Small
No,Extended,Bachelor,Medical Leave,F,12075,Suburban,Married,94,16,23,0,5,Personal Auto,Personal L2,Offer1,Branch,451,Four-Door Car,Medsize
Yes,Basic,College,Employed,M,62464,Urban,Married,109,23,45,0,4,Personal Auto,Personal L2,Offer2,Agent,400,Sports Car,Medsize
Yes,Basic,College,Medical Leave,M,22520,Suburban,Married,73,17,64,0,3,Personal Auto,Personal L2,Offer1,Branch,350,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,F,35012,Suburban,Single,72,0,50,0,6,Personal Auto,Personal L3,Offer2,Agent,346,Four-Door Car,Medsize
No,Extended,College,Employed,F,95140,Rural,Divorced,126,6,52,0,2,Personal Auto,Personal L3,Offer1,Agent,45,Sports Car,Medsize
Yes,Extended,High School or Below,Employed,F,82477,Suburban,Married,90,1,69,0,1,Corporate Auto,Corporate L3,Offer2,Agent,432,Two-Door Car,Large
No,Extended,Master,Employed,M,85871,Rural,Married,92,4,25,1,1,Personal Auto,Personal L3,Offer4,Call Center,113,Four-Door Car,Medsize
No,Basic,College,Employed,F,71592,Rural,Divorced,72,15,18,0,2,Personal Auto,Personal L3,Offer3,Branch,142,Four-Door Car,Medsize
No,Basic,Master,Employed,F,70446,Rural,Married,65,31,99,0,9,Personal Auto,Personal L1,Offer4,Call Center,156,Four-Door Car,Medsize
No,Extended,High School or Below,Employed,M,24314,Suburban,Married,235,20,60,0,1,Personal Auto,Personal L3,Offer2,Call Center,1128,Luxury SUV,Medsize
Yes,Basic,Master,Employed,M,79751,Suburban,Married,63,15,67,0,1,Corporate Auto,Corporate L3,Offer3,Web,392,Two-Door Car,Small
No,Basic,High School or Below,Employed,M,83318,Suburban,Married,72,21,58,0,3,Corporate Auto,Corporate L3,Offer1,Branch,346,Four-Door Car,Medsize
No,Basic,Master,Retired,F,26161,Suburban,Single,109,8,70,0,1,Personal Auto,Personal L3,Offer3,Branch,594,Sports Car,Large
No,Basic,Bachelor,Employed,F,30473,Suburban,Married,72,20,35,0,1,Corporate Auto,Corporate L1,Offer4,Call Center,450,Four-Door Car,Medsize
No,Extended,College,Employed,M,50472,Urban,Married,87,6,67,0,3,Corporate Auto,Corporate L3,Offer2,Web,281,Four-Door Car,Medsize
No,Basic,Master,Employed,M,94186,Rural,Married,64,20,50,0,3,Personal Auto,Personal L3,Offer3,Call Center,135,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,47611,Suburban,Married,69,17,65,0,4,Corporate Auto,Corporate L3,Offer2,Call Center,594,Four-Door Car,Small
No,Premium,High School or Below,Unemployed,M,0,Suburban,Married,103,17,56,0,4,Personal Auto,Personal L3,Offer3,Branch,519,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,91245,Rural,Divorced,69,16,50,0,2,Corporate Auto,Corporate L3,Offer1,Agent,19,Four-Door Car,Small
No,Extended,High School or Below,Employed,F,45944,Rural,Married,83,20,4,0,1,Personal Auto,Personal L2,Offer3,Call Center,183,Two-Door Car,Medsize
No,Basic,College,Employed,F,59649,Rural,Married,69,33,71,1,8,Personal Auto,Personal L3,Offer2,Web,168,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,52785,Rural,Married,61,2,90,0,1,Corporate Auto,Corporate L1,Offer2,Agent,46,Two-Door Car,Medsize
No,Basic,High School or Below,Employed,F,59648,Suburban,Married,66,20,72,0,2,Personal Auto,Personal L3,Offer3,Agent,317,Four-Door Car,Medsize
Yes,Extended,College,Employed,F,93272,Urban,Married,95,3,54,0,1,Corporate Auto,Corporate L3,Offer2,Branch,281,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,M,22134,Suburban,Married,72,13,81,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,446,Four-Door Car,Medsize
No,Basic,College,Employed,F,69050,Suburban,Married,67,17,38,0,3,Personal Auto,Personal L2,Offer3,Web,335,Four-Door Car,Large
No,Basic,Master,Employed,M,87798,Urban,Married,71,18,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,204,Two-Door Car,Medsize
No,Basic,Bachelor,Unemployed,M,0,Suburban,Divorced,63,0,66,0,1,Personal Auto,Personal L2,Offer1,Call Center,306,Four-Door Car,Small
No,Basic,Master,Employed,F,43811,Suburban,Married,117,24,10,0,4,Personal Auto,Personal L3,Offer1,Web,571,Sports Car,Small
No,Extended,College,Unemployed,F,0,Suburban,Single,91,25,63,0,3,Corporate Auto,Corporate L2,Offer1,Agent,655,Two-Door Car,Medsize
No,Extended,Bachelor,Employed,F,92456,Suburban,Divorced,95,8,3,0,4,Special Auto,Special L3,Offer1,Branch,456,Four-Door Car,Medsize
Yes,Premium,High School or Below,Employed,F,59207,Suburban,Single,116,23,21,0,2,Personal Auto,Personal L3,Offer1,Agent,557,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,F,64519,Suburban,Married,69,6,29,1,1,Corporate Auto,Corporate L3,Offer3,Branch,331,Four-Door Car,Medsize
Yes,Basic,High School or Below,Disabled,F,11432,Suburban,Married,119,11,9,0,2,Personal Auto,Personal L2,Offer2,Agent,571,SUV,Small
No,Extended,College,Unemployed,F,0,Rural,Married,80,6,28,0,2,Personal Auto,Personal L2,Offer1,Agent,81,Two-Door Car,Large
No,Basic,High School or Below,Employed,M,32607,Suburban,Single,111,27,79,1,8,Corporate Auto,Corporate L3,Offer2,Branch,533,SUV,Medsize
No,Basic,High School or Below,Disabled,F,26444,Suburban,Married,196,4,14,0,1,Personal Auto,Personal L1,Offer1,Branch,941,Luxury Car,Medsize
No,Basic,High School or Below,Employed,F,39381,Suburban,Married,74,6,55,1,7,Personal Auto,Personal L3,Offer2,Branch,355,Four-Door Car,Small
No,Extended,College,Unemployed,M,0,Suburban,Single,83,21,67,0,8,Personal Auto,Personal L2,Offer1,Branch,946,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,90217,Suburban,Married,66,14,88,1,5,Personal Auto,Personal L1,Offer4,Web,317,Four-Door Car,Small
No,Basic,High School or Below,Disabled,M,24248,Suburban,Married,70,33,82,3,1,Personal Auto,Personal L2,Offer1,Agent,336,Four-Door Car,Medsize
No,Premium,Bachelor,Employed,M,99368,Rural,Married,113,34,6,0,3,Personal Auto,Personal L3,Offer1,Web,82,Four-Door Car,Medsize
No,Extended,High School or Below,Employed,F,68189,Urban,Married,82,10,17,1,2,Special Auto,Special L2,Offer2,Branch,343,Four-Door Car,Medsize
No,Extended,Master,Employed,F,32370,Urban,Married,130,31,84,0,2,Corporate Auto,Corporate L3,Offer3,Agent,488,SUV,Medsize
Yes,Basic,Master,Employed,F,34990,Rural,Single,65,23,73,0,1,Personal Auto,Personal L3,Offer2,Web,43,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,F,25714,Suburban,Married,67,17,57,0,5,Personal Auto,Personal L3,Offer2,Agent,322,Two-Door Car,Small
No,Extended,College,Employed,M,61091,Urban,Single,95,17,64,0,8,Personal Auto,Personal L1,Offer2,Agent,410,Two-Door Car,Medsize
No,Premium,College,Employed,M,88184,Rural,Married,104,5,97,3,2,Personal Auto,Personal L3,Offer1,Agent,240,Four-Door Car,Medsize
No,Basic,College,Employed,F,60252,Urban,Married,65,10,8,0,1,Personal Auto,Personal L2,Offer4,Agent,182,Four-Door Car,Medsize
No,Basic,College,Employed,M,80985,Rural,Married,67,0,52,0,1,Personal Auto,Personal L3,Offer3,Agent,125,Four-Door Car,Medsize
Yes,Basic,Bachelor,Employed,M,36088,Suburban,Single,72,16,31,0,9,Personal Auto,Personal L3,Offer1,Agent,346,Four-Door Car,Medsize
Yes,Basic,High School or Below,Employed,M,99845,Suburban,Married,110,23,25,1,8,Personal Auto,Personal L3,Offer2,Branch,528,SUV,Medsize
No,Basic,High School or Below,Employed,F,29822,Suburban,Single,61,17,44,0,2,Personal Auto,Personal L2,Offer2,Agent,293,Two-Door Car,Medsize
No,Basic,College,Employed,F,40803,Rural,Single,71,8,19,3,2,Personal Auto,Personal L3,Offer3,Call Center,123,Four-Door Car,Medsize
No,Extended,College,Employed,F,71134,Rural,Married,98,21,95,3,8,Personal Auto,Personal L3,Offer1,Web,196,Two-Door Car,Medsize
Yes,Basic,Bachelor,Employed,M,36088,Suburban,Single,72,16,31,0,9,Personal Auto,Personal L3,Offer1,Agent,346,Four-Door Car,Medsize
No,Basic,College,Employed,M,29431,Rural,Married,103,29,35,0,2,Personal Auto,Personal L2,Offer4,Call Center,238,SUV,Medsize
No,Basic,High School or Below,Employed,M,68073,Suburban,Married,114,16,63,0,8,Personal Auto,Personal L3,Offer3,Agent,547,SUV,Medsize
No,Basic,College,Medical Leave,M,17937,Suburban,Single,65,1,27,0,2,Personal Auto,Personal L3,Offer1,Branch,312,Two-Door Car,Medsize
Yes,Extended,Bachelor,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L1,Offer2,Call Center,374,Four-Door Car,Medsize
Yes,Basic,Doctor,Disabled,F,21986,Suburban,Divorced,63,1,9,0,1,Personal Auto,Personal L3,Offer2,Branch,334,Two-Door Car,Medsize
No,Extended,Bachelor,Employed,F,23032,Suburban,Married,89,30,22,0,7,Corporate Auto,Corporate L1,Offer1,Branch,427,Four-Door Car,Medsize
No,Basic,College,Employed,F,32114,Urban,Married,104,22,50,0,1,Corporate Auto,Corporate L3,Offer1,Agent,445,SUV,Medsize
No,Basic,Bachelor,Disabled,M,13330,Suburban,Single,117,33,74,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,562,SUV,Medsize
No,Basic,College,Employed,F,44934,Suburban,Married,61,9,60,0,4,Personal Auto,Personal L1,Offer1,Agent,358,Four-Door Car,Medsize
No,Basic,College,Employed,F,96137,Rural,Married,73,17,34,2,1,Corporate Auto,Corporate L1,Offer1,Call Center,67,Two-Door Car,Medsize
Yes,Basic,College,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Personal L3,Offer1,Agent,167,SUV,Medsize
No,Basic,College,Employed,F,22668,Rural,Single,67,5,34,1,2,Personal Auto,Personal L2,Offer3,Branch,34,Four-Door Car,Medsize
No,Extended,College,Employed,M,90751,Urban,Married,82,2,22,1,8,Personal Auto,Personal L2,Offer1,Agent,316,Two-Door Car,Medsize
No,Basic,College,Employed,M,44186,Urban,Married,64,9,96,2,2,Personal Auto,Personal L1,Offer1,Agent,295,Four-Door Car,Medsize
No,Basic,College,Employed,M,92678,Rural,Divorced,70,0,67,0,3,Personal Auto,Personal L3,Offer4,Web,35,Four-Door Car,Small
No,Extended,Bachelor,Employed,F,74257,Urban,Married,76,16,91,0,3,Personal Auto,Personal L3,Offer1,Agent,215,Four-Door Car,Large
No,Basic,Bachelor,Employed,M,99981,Urban,Married,71,2,22,0,1,Special Auto,Special L2,Offer2,Web,205,Four-Door Car,Small
No,Extended,College,Unemployed,M,0,Suburban,Single,91,26,89,0,6,Personal Auto,Personal L1,Offer1,Web,655,Four-Door Car,Small
No,Basic,College,Medical Leave,F,19591,Rural,Divorced,74,8,79,0,4,Personal Auto,Personal L2,Offer1,Agent,96,Two-Door Car,Medsize
No,Extended,College,Employed,F,29095,Suburban,Married,127,2,80,0,1,Personal Auto,Personal L2,Offer4,Agent,664,SUV,Medsize
No,Basic,Bachelor,Unemployed,F,0,Suburban,Married,62,25,15,0,1,Corporate Auto,Corporate L3,Offer4,Agent,390,Four-Door Car,Medsize
Yes,Premium,Master,Employed,M,60880,Rural,Married,119,25,89,0,2,Corporate Auto,Corporate L2,Offer1,Agent,110,Two-Door Car,Medsize
No,Basic,Bachelor,Employed,F,61785,Urban,Married,61,31,47,0,5,Personal Auto,Personal L3,Offer3,Web,271,Two-Door Car,Large
Yes,Basic,Bachelor,Employed,M,44428,Suburban,Single,104,17,61,0,2,Special Auto,Special L1,Offer1,Call Center,499,SUV,Medsize
Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Personal L2,Offer2,Agent,178,Sports Car,Medsize
No,Basic,Bachelor,Medical Leave,F,18064,Urban,Married,63,10,45,2,1,Personal Auto,Personal L2,Offer3,Call Center,183,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,74720,Urban,Divorced,70,15,99,0,3,Personal Auto,Personal L3,Offer1,Agent,201,Two-Door Car,Medsize
No,Basic,Bachelor,Disabled,F,22594,Suburban,Married,67,22,41,0,3,Personal Auto,Personal L2,Offer1,Call Center,322,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,40987,Urban,Divorced,73,6,15,0,1,Personal Auto,Personal L2,Offer3,Call Center,329,Four-Door Car,Medsize
No,Extended,High School or Below,Disabled,M,24561,Suburban,Married,126,1,31,0,2,Personal Auto,Personal L1,Offer2,Branch,853,SUV,Small
No,Extended,College,Employed,F,76456,Rural,Single,83,27,34,1,2,Personal Auto,Personal L3,Offer4,Web,43,Four-Door Car,Medsize
No,Basic,College,Employed,M,65828,Suburban,Divorced,62,22,3,0,1,Personal Auto,Personal L3,Offer2,Agent,298,Four-Door Car,Small
No,Basic,College,Unemployed,F,0,Suburban,Single,68,0,48,1,5,Personal Auto,Personal L2,Offer1,Call Center,490,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,63621,Suburban,Married,70,8,48,0,5,Personal Auto,Personal L3,Offer4,Call Center,445,Four-Door Car,Medsize
No,Basic,College,Medical Leave,M,10074,Rural,Married,107,33,42,0,1,Corporate Auto,Corporate L1,Offer2,Web,109,SUV,Medsize
No,Basic,College,Employed,F,78965,Rural,Married,183,3,78,0,2,Personal Auto,Personal L3,Offer1,Call Center,146,Luxury Car,Medsize
No,Basic,College,Unemployed,F,0,Suburban,Single,68,16,57,0,2,Personal Auto,Personal L1,Offer2,Call Center,479,Four-Door Car,Medsize
No,Basic,Bachelor,Disabled,M,23604,Suburban,Married,64,4,86,0,8,Corporate Auto,Corporate L2,Offer1,Web,461,Two-Door Car,Medsize
No,Basic,College,Employed,F,99205,Urban,Married,68,7,21,0,1,Personal Auto,Personal L2,Offer2,Branch,323,Two-Door Car,Medsize
No,Extended,College,Unemployed,M,0,Suburban,Married,92,4,60,0,3,Personal Auto,Personal L1,Offer1,Branch,442,Two-Door Car,Medsize
Yes,Basic,Bachelor,Unemployed,F,0,Suburban,Married,66,6,71,2,1,Corporate Auto,Corporate L1,Offer2,Call Center,433,Four-Door Car,Large
Yes,Basic,College,Employed,F,55350,Suburban,Married,67,0,13,0,9,Personal Auto,Personal L1,Offer1,Agent,322,Four-Door Car,Medsize
No,Basic,College,Disabled,M,21052,Urban,Married,111,12,55,0,5,Corporate Auto,Corporate L3,Offer2,Call Center,454,SUV,Medsize
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,69,5,64,0,2,Personal Auto,Personal L1,Offer1,Web,497,Four-Door Car,Medsize
No,Basic,High School or Below,Medical Leave,M,24664,Suburban,Married,69,12,15,0,2,Corporate Auto,Corporate L3,Offer2,Agent,497,Four-Door Car,Medsize
No,Extended,College,Employed,M,45225,Rural,Single,124,15,83,0,1,Corporate Auto,Corporate L1,Offer3,Web,209,Sports Car,Small
No,Extended,College,Employed,M,30430,Suburban,Single,86,6,77,0,2,Special Auto,Special L3,Offer4,Web,426,Four-Door Car,Small
No,Basic,Bachelor,Employed,F,35149,Rural,Married,64,26,33,0,1,Personal Auto,Personal L2,Offer4,Web,120,Two-Door Car,Medsize
No,Basic,Bachelor,Medical Leave,M,16513,Suburban,Divorced,71,23,37,0,6,Personal Auto,Personal L3,Offer3,Branch,341,Four-Door Car,Medsize
No,Basic,High School or Below,Disabled,M,10892,Suburban,Divorced,66,16,9,0,3,Personal Auto,Personal L1,Offer1,Call Center,317,Four-Door Car,Medsize
Yes,Extended,High School or Below,Employed,F,37995,Suburban,Married,139,16,50,0,1,Personal Auto,Personal L1,Offer1,Branch,667,SUV,Medsize
No,Basic,College,Employed,M,54704,Urban,Divorced,113,6,75,0,1,Personal Auto,Personal L3,Offer1,Web,468,SUV,Medsize
No,Basic,Doctor,Employed,M,25381,Suburban,Single,71,22,62,0,2,Personal Auto,Personal L2,Offer2,Branch,341,Four-Door Car,Medsize
No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,5,75,0,1,Personal Auto,Personal L2,Offer2,Branch,355,Four-Door Car,Medsize
No,Basic,Bachelor,Disabled,F,18150,Urban,Married,67,17,34,0,2,Corporate Auto,Corporate L1,Offer1,Branch,220,Four-Door Car,Medsize
Yes,Basic,Bachelor,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L2,Offer1,Agent,331,Four-Door Car,Medsize
No,Basic,College,Employed,F,77156,Suburban,Divorced,73,30,39,0,7,Personal Auto,Personal L2,Offer1,Branch,446,Four-Door Car,Small
No,Extended,College,Employed,F,88782,Urban,Divorced,78,6,38,0,1,Personal Auto,Personal L3,Offer4,Web,358,Four-Door Car,Large
No,Extended,College,Employed,F,51489,Rural,Married,139,14,10,0,1,Personal Auto,Personal L2,Offer1,Web,237,SUV,Medsize
No,Extended,Bachelor,Retired,F,16972,Suburban,Divorced,125,17,89,0,5,Personal Auto,Personal L3,Offer1,Agent,600,SUV,Large
No,Extended,Bachelor,Employed,M,99359,Rural,Married,95,16,19,0,9,Personal Auto,Personal L3,Offer2,Call Center,233,Two-Door Car,Medsize
No,Basic,College,Employed,M,58289,Suburban,Single,62,18,92,4,1,Personal Auto,Personal L3,Offer1,Agent,298,Two-Door Car,Medsize
No,Premium,Doctor,Employed,F,45173,Suburban,Married,268,20,57,0,2,Personal Auto,Personal L3,Offer3,Call Center,1286,Luxury Car,Medsize
No,Extended,Bachelor,Employed,F,93246,Rural,Married,78,31,24,0,2,Personal Auto,Personal L3,Offer4,Branch,42,Two-Door Car,Medsize
No,Premium,High School or Below,Employed,M,43758,Suburban,Married,171,16,29,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,1130,SUV,Medsize
No,Extended,Bachelor,Employed,M,75651,Urban,Married,81,23,60,0,2,Personal Auto,Personal L2,Offer2,Agent,375,Four-Door Car,Large
No,Basic,Doctor,Unemployed,F,0,Suburban,Divorced,67,13,91,0,2,Personal Auto,Personal L3,Offer1,Agent,322,Four-Door Car,Medsize
No,Basic,Doctor,Employed,F,36938,Urban,Married,70,32,31,0,3,Special Auto,Special L2,Offer1,Agent,245,Four-Door Car,Medsize
No,Extended,Bachelor,Employed,M,50843,Suburban,Single,82,12,65,0,3,Personal Auto,Personal L3,Offer3,Call Center,394,Two-Door Car,Small
No,Basic,Bachelor,Employed,F,21907,Rural,Married,62,6,47,0,3,Personal Auto,Personal L3,Offer2,Agent,3,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,77846,Urban,Married,119,8,45,0,1,Personal Auto,Personal L3,Offer1,Agent,342,Sports Car,Medsize
Yes,Basic,High School or Below,Retired,M,20228,Suburban,Divorced,101,3,43,1,2,Personal Auto,Personal L3,Offer1,Branch,524,SUV,Medsize
No,Extended,High School or Below,Employed,F,97030,Suburban,Married,76,14,24,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,417,Four-Door Car,Small
No,Basic,High School or Below,Employed,M,80864,Urban,Married,182,5,30,0,1,Personal Auto,Personal L3,Offer3,Agent,618,Luxury SUV,Medsize
No,Premium,College,Employed,F,48197,Suburban,Single,106,10,61,0,6,Personal Auto,Personal L2,Offer2,Agent,509,Four-Door Car,Medsize
No,Basic,Doctor,Employed,M,70837,Suburban,Married,73,7,19,4,3,Personal Auto,Personal L3,Offer2,Agent,363,Four-Door Car,Small
No,Extended,High School or Below,Employed,M,85297,Suburban,Married,93,7,91,0,2,Special Auto,Special L3,Offer2,Branch,620,Two-Door Car,Small
No,Premium,Master,Employed,F,70177,Rural,Married,115,12,34,0,8,Personal Auto,Personal L1,Offer1,Agent,226,Four-Door Car,Medsize
No,Extended,College,Employed,M,52499,Suburban,Divorced,138,0,61,0,2,Personal Auto,Personal L2,Offer3,Call Center,1172,SUV,Medsize
No,Basic,College,Employed,M,63143,Suburban,Married,71,31,85,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,341,Four-Door Car,Medsize
Yes,Basic,Bachelor,Employed,M,97361,Suburban,Single,73,6,85,0,2,Personal Auto,Personal L2,Offer1,Agent,350,Four-Door Car,Medsize
No,Extended,High School or Below,Employed,M,50052,Suburban,Single,130,6,50,0,1,Personal Auto,Personal L2,Offer1,Agent,624,Sports Car,Small
No,Basic,Bachelor,Disabled,F,11612,Suburban,Married,71,20,92,0,5,Personal Auto,Personal L3,Offer2,Branch,341,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,F,78115,Urban,Married,65,1,12,0,4,Personal Auto,Personal L3,Offer2,Branch,255,Four-Door Car,Small
No,Basic,Master,Employed,F,81947,Urban,Married,71,12,78,0,2,Personal Auto,Personal L3,Offer3,Branch,204,Two-Door Car,Medsize
No,Extended,College,Employed,M,44698,Suburban,Married,211,0,88,4,1,Personal Auto,Personal L2,Offer1,Call Center,1013,Luxury Car,Medsize
No,Basic,High School or Below,Employed,F,26876,Urban,Married,66,12,53,0,2,Personal Auto,Personal L2,Offer4,Call Center,219,Four-Door Car,Medsize
No,Basic,College,Employed,F,69841,Urban,Married,192,0,66,0,7,Personal Auto,Personal L3,Offer1,Branch,879,Luxury SUV,Medsize
No,Basic,High School or Below,Employed,F,97768,Rural,Divorced,72,22,14,0,2,Personal Auto,Personal L1,Offer3,Agent,152,Two-Door Car,Medsize
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,187,6,12,0,1,Personal Auto,Personal L2,Offer2,Web,1589,Luxury Car,Medsize
No,Extended,College,Employed,M,89057,Rural,Married,98,17,90,0,2,Corporate Auto,Corporate L2,Offer1,Call Center,187,Two-Door Car,Medsize
No,Basic,Bachelor,Employed,F,50217,Suburban,Married,74,18,2,0,9,Personal Auto,Personal L1,Offer2,Web,355,Two-Door Car,Medsize
No,Basic,College,Unemployed,M,0,Suburban,Single,71,3,33,0,3,Personal Auto,Personal L2,Offer4,Web,697,Two-Door Car,Large
No,Basic,College,Unemployed,M,0,Suburban,Single,68,13,26,0,2,Personal Auto,Personal L3,Offer1,Agent,490,Two-Door Car,Small
No,Extended,Doctor,Employed,F,38500,Urban,Married,99,26,49,1,1,Corporate Auto,Corporate L2,Offer1,Agent,423,Four-Door Car,Large
No,Basic,High School or Below,Employed,F,62018,Urban,Married,71,21,0,0,1,Personal Auto,Personal L1,Offer4,Branch,294,Two-Door Car,Medsize
No,Basic,College,Unemployed,F,0,Suburban,Single,65,13,84,0,1,Personal Auto,Personal L3,Offer3,Web,468,Two-Door Car,Medsize
No,Premium,Master,Employed,M,57394,Urban,Married,106,8,11,0,3,Personal Auto,Personal L3,Offer4,Call Center,316,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,M,23530,Suburban,Divorced,65,22,34,0,2,Corporate Auto,Corporate L3,Offer3,Agent,312,Two-Door Car,Medsize
No,Extended,High School or Below,Employed,F,48887,Suburban,Divorced,95,26,25,0,1,Personal Auto,Personal L1,Offer2,Agent,456,Four-Door Car,Medsize
No,Extended,Master,Employed,F,68867,Suburban,Married,129,19,91,0,1,Personal Auto,Personal L3,Offer1,Call Center,619,SUV,Medsize
No,Basic,College,Disabled,F,12062,Suburban,Single,63,3,42,0,2,Corporate Auto,Corporate L1,Offer4,Web,302,Four-Door Car,Medsize
No,Basic,College,Employed,M,59230,Rural,Married,107,11,56,0,5,Personal Auto,Personal L3,Offer1,Branch,245,SUV,Medsize
No,Basic,Bachelor,Employed,F,59586,Rural,Divorced,72,6,70,0,3,Personal Auto,Personal L1,Offer2,Branch,91,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,57506,Suburban,Married,102,24,43,0,1,Personal Auto,Personal L1,Offer4,Agent,615,Sports Car,Small
Yes,Basic,Bachelor,Employed,F,25134,Suburban,Married,67,3,0,0,6,Personal Auto,Personal L3,Offer2,Call Center,322,Four-Door Car,Small
No,Basic,College,Unemployed,F,0,Suburban,Single,61,3,58,0,5,Personal Auto,Personal L2,Offer1,Branch,293,Four-Door Car,Large
No,Basic,College,Unemployed,F,0,Suburban,Married,61,19,44,0,1,Personal Auto,Personal L2,Offer3,Agent,293,Four-Door Car,Small
No,Basic,College,Unemployed,M,0,Suburban,Married,100,15,96,1,1,Personal Auto,Personal L3,Offer1,Agent,720,SUV,Medsize
No,Basic,Bachelor,Employed,M,44901,Suburban,Married,70,15,56,2,2,Personal Auto,Personal L3,Offer1,Branch,461,Four-Door Car,Small
No,Extended,Bachelor,Unemployed,F,0,Rural,Married,93,21,8,0,3,Personal Auto,Personal L1,Offer1,Call Center,149,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,28463,Urban,Married,113,0,45,2,7,Personal Auto,Personal L3,Offer3,Call Center,324,SUV,Medsize
Yes,Extended,Bachelor,Medical Leave,F,13037,Suburban,Married,124,28,49,0,1,Personal Auto,Personal L3,Offer2,Agent,839,SUV,Small
No,Extended,High School or Below,Employed,M,82320,Suburban,Married,99,4,2,1,2,Personal Auto,Personal L2,Offer2,Branch,475,Four-Door Car,Medsize
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,104,9,58,0,7,Personal Auto,Personal L3,Offer1,Call Center,499,SUV,Medsize
No,Basic,College,Employed,F,78460,Urban,Married,64,3,93,0,4,Personal Auto,Personal L3,Offer3,Agent,204,Four-Door Car,Medsize
No,Extended,College,Unemployed,M,0,Suburban,Married,92,26,11,4,1,Personal Auto,Personal L2,Offer3,Agent,657,Two-Door Car,Medsize
No,Basic,College,Employed,M,46922,Suburban,Married,64,34,12,0,3,Corporate Auto,Corporate L3,Offer1,Branch,403,Two-Door Car,Medsize
No,Basic,College,Employed,M,60689,Rural,Single,74,29,67,0,7,Corporate Auto,Corporate L2,Offer2,Branch,6,Four-Door Car,Medsize
No,Basic,Master,Unemployed,F,0,Suburban,Married,71,3,38,0,3,Personal Auto,Personal L3,Offer1,Branch,341,Four-Door Car,Medsize
Yes,Extended,College,Employed,F,61108,Rural,Divorced,89,22,93,0,2,Personal Auto,Personal L3,Offer2,Agent,49,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,M,98003,Urban,Divorced,107,4,46,0,7,Personal Auto,Personal L3,Offer3,Call Center,449,SUV,Small
No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,30,37,0,2,Personal Auto,Personal L3,Offer1,Call Center,460,Four-Door Car,Medsize
Yes,Extended,High School or Below,Disabled,F,22081,Suburban,Married,84,1,9,0,6,Personal Auto,Personal L1,Offer1,Agent,452,Two-Door Car,Small
No,Extended,High School or Below,Employed,M,83006,Urban,Married,235,8,61,1,2,Personal Auto,Personal L1,Offer3,Agent,1065,Luxury SUV,Small
Yes,Basic,College,Employed,F,38713,Suburban,Divorced,66,31,69,4,6,Corporate Auto,Corporate L3,Offer2,Call Center,317,Four-Door Car,Medsize
No,Basic,College,Medical Leave,F,28700,Suburban,Married,68,2,65,3,1,Personal Auto,Personal L2,Offer4,Web,326,Four-Door Car,Medsize
No,Basic,Master,Employed,F,61552,Rural,Married,115,1,95,0,2,Personal Auto,Personal L3,Offer1,Agent,12,SUV,Medsize
No,Basic,College,Employed,M,56718,Suburban,Divorced,113,7,95,1,1,Personal Auto,Personal L3,Offer1,Call Center,542,SUV,Medsize
No,Basic,Doctor,Employed,M,66776,Rural,Single,71,11,45,0,2,Corporate Auto,Corporate L3,Offer4,Agent,132,Four-Door Car,Small
