Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Scored Label Mean,Scored Label Standard Deviation
No,Basic,High School or Below,Employed,F,52216,Suburban,Married,72,8,55,1,1,Personal Auto,Personal L2,Offer1,Web,362,Four-Door Car,Medsize,20,0.000295804
No,Basic,Bachelor,Employed,M,37229,Suburban,Married,67,9,36,0,2,Personal Auto,Personal L2,Offer4,Branch,322,Four-Door Car,Medsize,70.41666667,7.156485021
No,Basic,College,Employed,M,58443,Suburban,Married,65,24,71,0,6,Personal Auto,Personal L3,Offer3,Agent,312,Four-Door Car,Small,40,0.000281366
No,Basic,College,Employed,F,43721,Suburban,Married,61,5,84,0,1,Personal Auto,Personal L2,Offer2,Branch,293,Four-Door Car,Small,10,0.000273861
No,Basic,Bachelor,Employed,F,48829,Urban,Single,64,23,70,1,1,Personal Auto,Personal L2,Offer1,Agent,300,Four-Door Car,Medsize,10,0.000258199
No,Basic,College,Employed,M,24910,Suburban,Married,69,12,79,0,3,Personal Auto,Personal L1,Offer3,Agent,746,Two-Door Car,Medsize,48.75,3.307189149
No,Basic,High School or Below,Employed,M,39602,Suburban,Divorced,64,15,59,0,2,Personal Auto,Personal L1,Offer3,Agent,307,Two-Door Car,Small,78.95833333,13.43548112
No,Premium,High School or Below,Employed,F,24193,Urban,Married,185,26,79,0,2,Personal Auto,Personal L3,Offer1,Branch,785,Sports Car,Medsize,90,0.000273862
No,Basic,Bachelor,Employed,M,55308,Suburban,Divorced,107,17,74,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,514,SUV,Medsize,70,0.000268096
No,Extended,High School or Below,Unemployed,M,0,Suburban,Divorced,82,13,87,0,7,Personal Auto,Personal L3,Offer1,Agent,445,Two-Door Car,Medsize,47.91666667,4.228704828
No,Extended,Bachelor,Employed,F,59578,Urban,Married,98,1,50,1,1,Corporate Auto,Corporate L3,Offer1,Branch,404,Four-Door Car,Medsize,26.25,4.841229191
No,Extended,College,Employed,F,56830,Urban,Married,83,6,27,0,9,Personal Auto,Personal L1,Offer2,Agent,320,Two-Door Car,Medsize,53.33333333,4.859126584
No,Basic,College,Employed,F,35895,Urban,Married,73,11,51,0,1,Personal Auto,Personal L3,Offer2,Agent,313,Four-Door Car,Medsize,20,0.000285044
No,Basic,High School or Below,Employed,F,50201,Rural,Married,64,21,99,0,1,Personal Auto,Personal L3,Offer4,Agent,100,Two-Door Car,Medsize,10,0.000285044
No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,86,12,96,0,8,Corporate Auto,Corporate L3,Offer3,Call Center,413,Four-Door Car,Medsize,50,0.000264181
No,Premium,High School or Below,Unemployed,M,0,Suburban,Single,110,27,89,0,2,Personal Auto,Personal L2,Offer1,Call Center,1005,Four-Door Car,Medsize,83.75,4.841229192
No,Extended,High School or Below,Employed,M,68131,Rural,Married,130,22,27,0,1,Personal Auto,Personal L2,Offer4,Branch,227,SUV,Medsize,40,0.000285044
No,Extended,High School or Below,Unemployed,M,0,Suburban,Married,211,31,52,0,5,Personal Auto,Personal L3,Offer1,Web,1013,Luxury SUV,Medsize,85.41666667,5.120085726
No,Extended,Bachelor,Disabled,M,16269,Suburban,Divorced,86,6,84,0,1,Corporate Auto,Corporate L2,Offer3,Agent,413,Two-Door Car,Medsize,19.375,2.997394715
No,Extended,High School or Below,Disabled,M,29295,Suburban,Married,219,25,50,0,2,Personal Auto,Personal L3,Offer1,Agent,1329,Luxury SUV,Large,90,0.000285045
Yes,Extended,Doctor,Employed,F,37384,Suburban,Married,99,9,17,0,1,Personal Auto,Personal L1,Offer2,Agent,475,Four-Door Car,Medsize,30,0.000211641
Yes,Extended,Master,Unemployed,M,0,Suburban,Single,125,6,61,0,2,Personal Auto,Personal L1,Offer1,Agent,900,SUV,Small,80,0.00027951
No,Basic,High School or Below,Employed,F,93348,Rural,Married,65,23,50,0,8,Personal Auto,Personal L3,Offer2,Call Center,109,Four-Door Car,Medsize,40,0.000270031
No,Basic,Bachelor,Employed,F,74888,Suburban,Married,68,19,36,3,7,Personal Auto,Personal L3,Offer3,Call Center,336,Two-Door Car,Small,42.5,4.330127028
No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,70,17,47,1,1,Corporate Auto,Corporate L2,Offer2,Agent,494,Four-Door Car,Medsize,10,0.000273861
No,Basic,Bachelor,Employed,M,30344,Urban,Divorced,107,29,79,0,9,Personal Auto,Personal L3,Offer1,Branch,343,SUV,Medsize,70,0.000292262
No,Basic,Bachelor,Employed,M,41005,Suburban,Single,70,22,37,0,1,Personal Auto,Personal L1,Offer4,Branch,336,Four-Door Car,Medsize,16.875,4.960783715
No,Extended,Bachelor,Employed,F,31168,Urban,Married,78,14,42,0,1,Corporate Auto,Corporate L1,Offer1,Agent,289,Four-Door Car,Medsize,20,0.000295804
No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,68,7,31,0,7,Corporate Auto,Corporate L1,Offer2,Web,326,Four-Door Car,Medsize,38.75,3.30718915
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,64,0,78,0,1,Personal Auto,Personal L3,Offer1,Branch,426,Four-Door Car,Medsize,10,0.00024367
No,Basic,High School or Below,Employed,M,21190,Suburban,Married,65,24,68,2,1,Personal Auto,Personal L3,Offer2,Call Center,312,Four-Door Car,Medsize,10,0.000270031
No,Extended,High School or Below,Employed,M,35001,Suburban,Single,96,18,87,3,1,Personal Auto,Personal L2,Offer1,Web,461,Four-Door Car,Small,27.91666667,4.22870483
No,Basic,High School or Below,Employed,F,77738,Urban,Married,118,18,47,0,2,Personal Auto,Personal L3,Offer2,Call Center,463,SUV,Small,87.08333333,4.695594872
No,Premium,College,Unemployed,M,0,Suburban,Married,104,13,20,0,3,Personal Auto,Personal L3,Offer1,Branch,499,Four-Door Car,Small,60.41666667,2.319901834
Yes,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L1,Offer2,Branch,468,Two-Door Car,Medsize,38.95833333,3.720952323
No,Premium,Bachelor,Disabled,M,15529,Suburban,Married,273,1,64,0,9,Personal Auto,Personal L3,Offer3,Branch,1966,Luxury SUV,Small,90,0.000258199
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,117,9,12,0,2,Personal Auto,Personal L3,Offer2,Web,1228,Sports Car,Medsize,84.79166667,5.428672599
Yes,Basic,College,Retired,F,21073,Suburban,Divorced,106,25,54,1,3,Personal Auto,Personal L2,Offer1,Agent,509,SUV,Small,62.5,4.330127029
No,Extended,High School or Below,Unemployed,F,0,Suburban,Married,124,13,31,0,1,Corporate Auto,Corporate L1,Offer2,Web,631,Sports Car,Medsize,33.75,4.841229191
No,Basic,Bachelor,Employed,F,52801,Urban,Married,100,21,78,0,1,Personal Auto,Personal L3,Offer2,Branch,475,SUV,Small,30,0.000270031
No,Basic,College,Unemployed,F,0,Suburban,Single,112,8,28,0,1,Special Auto,Special L3,Offer3,Branch,806,Sports Car,Medsize,28.4375,4.133986434
No,Extended,College,Employed,M,63483,Rural,Married,83,4,84,0,3,Personal Auto,Personal L1,Offer2,Branch,85,Four-Door Car,Medsize,56.25,5.120085725
No,Extended,Master,Employed,F,43922,Rural,Married,88,26,88,0,2,Personal Auto,Personal L3,Offer2,Web,109,Four-Door Car,Medsize,84.79166667,7.380412331
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,194,0,22,0,2,Personal Auto,Personal L2,Offer1,Agent,931,Luxury SUV,Medsize,90,0.000270031
No,Basic,High School or Below,Employed,F,88067,Suburban,Married,70,19,59,0,1,Personal Auto,Personal L3,Offer2,Branch,336,Four-Door Car,Small,19.375,2.997394713
No,Basic,College,Employed,F,96399,Urban,Married,70,1,28,0,2,Personal Auto,Personal L1,Offer2,Agent,308,Four-Door Car,Medsize,75.10416667,7.435340495
No,Extended,High School or Below,Employed,F,32184,Rural,Married,136,14,91,1,2,Personal Auto,Personal L2,Offer1,Branch,266,SUV,Medsize,90,0.000258199
No,Basic,Bachelor,Employed,F,33588,Suburban,Married,62,2,64,0,2,Corporate Auto,Corporate L3,Offer1,Agent,420,Four-Door Car,Medsize,69.375,15.29654782
No,Basic,Master,Employed,F,98044,Urban,Single,73,5,53,0,2,Personal Auto,Personal L2,Offer3,Branch,347,Four-Door Car,Small,72.5,10.89724736
No,Basic,College,Employed,M,92678,Rural,Divorced,70,0,67,0,3,Personal Auto,Personal L3,Offer4,Web,35,Four-Door Car,Small,49.16666667,3.004626074
Yes,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Corporate Auto,Corporate L1,Offer2,Call Center,424,Four-Door Car,Medsize,69.375,9.164298939
No,Basic,Bachelor,Employed,F,84365,Suburban,Married,66,14,42,0,2,Personal Auto,Personal L3,Offer2,Branch,317,Four-Door Car,Small,70.83333333,11.93151756
No,Basic,Doctor,Employed,F,43793,Rural,Married,71,8,31,0,1,Personal Auto,Personal L2,Offer2,Agent,16,Four-Door Car,Medsize,20,0.000285044
Yes,Premium,High School or Below,Employed,F,59207,Suburban,Single,116,23,21,0,2,Personal Auto,Personal L3,Offer1,Agent,557,Four-Door Car,Medsize,80,0.000275757
No,Premium,Bachelor,Employed,F,77282,Suburban,Married,102,8,54,0,3,Corporate Auto,Corporate L2,Offer1,Agent,490,Four-Door Car,Medsize,70,0.000285045
Yes,Basic,Bachelor,Disabled,M,18375,Suburban,Married,103,8,50,0,1,Personal Auto,Personal L1,Offer1,Branch,535,Sports Car,Large,30,0.000262203
No,Basic,College,Employed,M,41104,Urban,Married,109,4,10,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,440,SUV,Large,82.91666667,4.69559487
Yes,Extended,Master,Employed,M,60244,Urban,Married,83,3,72,3,1,Personal Auto,Personal L3,Offer3,Agent,326,Four-Door Car,Medsize,20,0.000266145
No,Premium,High School or Below,Employed,F,72193,Urban,Married,118,1,46,0,1,Personal Auto,Personal L3,Offer4,Branch,553,Four-Door Car,Medsize,34.0625,5.294085739
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,66,22,1,1,3,Corporate Auto,Corporate L3,Offer1,Agent,475,Four-Door Car,Medsize,30,0.000285044
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,94,2,61,0,6,Personal Auto,Personal L2,Offer3,Agent,677,Two-Door Car,Medsize,50.41666667,4.061164317
No,Basic,Bachelor,Employed,F,33089,Suburban,Married,61,10,61,0,2,Personal Auto,Personal L1,Offer1,Web,293,Four-Door Car,Small,73.125,15.07936182
Yes,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Personal L1,Offer2,Web,159,Two-Door Car,Medsize,73.33333333,7.817359604
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,113,35,29,0,1,Personal Auto,Personal L1,Offer2,Call Center,1305,SUV,Medsize,29.16666667,4.166666673
Yes,Extended,College,Employed,F,70263,Rural,Married,93,30,66,0,5,Personal Auto,Personal L2,Offer2,Call Center,7,Two-Door Car,Small,60,0.000270031
No,Basic,Bachelor,Unemployed,F,0,Rural,Married,106,15,30,0,1,Personal Auto,Personal L3,Offer3,Agent,117,SUV,Medsize,30,0.000247908
Yes,Basic,College,Medical Leave,F,22571,Suburban,Single,63,29,51,0,9,Corporate Auto,Corporate L3,Offer2,Web,302,Four-Door Car,Large,31.25,3.307189147
No,Premium,Master,Employed,F,27317,Suburban,Married,102,30,12,0,2,Personal Auto,Personal L2,Offer3,Agent,490,Four-Door Car,Medsize,84.79166667,5.428672599
No,Extended,High School or Below,Employed,F,79270,Suburban,Married,95,28,61,3,2,Personal Auto,Personal L1,Offer2,Branch,456,Four-Door Car,Medsize,82.70833333,4.925662683
No,Extended,High School or Below,Employed,F,34062,Suburban,Married,91,23,51,0,3,Corporate Auto,Corporate L3,Offer3,Agent,603,Four-Door Car,Medsize,60,0.000281366
No,Basic,High School or Below,Employed,M,69604,Rural,Married,70,10,50,0,1,Corporate Auto,Corporate L3,Offer4,Agent,112,Four-Door Car,Medsize,20,0.000252075
No,Basic,College,Unemployed,M,0,Suburban,Single,62,22,39,0,6,Personal Auto,Personal L2,Offer3,Branch,446,Four-Door Car,Medsize,32.5,4.330127029
No,Extended,College,Unemployed,M,0,Urban,Married,124,23,30,0,7,Personal Auto,Personal L3,Offer1,Branch,473,SUV,Small,70,0.000292262
No,Basic,Master,Medical Leave,F,25143,Rural,Divorced,66,34,38,0,1,Corporate Auto,Corporate L2,Offer1,Branch,9,Four-Door Car,Medsize,10,0.000230489
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,61,32,85,0,2,Corporate Auto,Corporate L3,Offer3,Agent,293,Two-Door Car,Medsize,62.5,16.39359631
No,Basic,College,Unemployed,F,0,Suburban,Single,70,28,29,0,8,Personal Auto,Personal L1,Offer3,Call Center,336,Four-Door Car,Medsize,38.75,3.30718915
No,Basic,Bachelor,Employed,M,76357,Rural,Married,117,18,96,1,1,Personal Auto,Personal L3,Offer1,Call Center,4,SUV,Medsize,31.66666667,3.908679808
Yes,Basic,Bachelor,Retired,F,24910,Suburban,Single,63,7,63,1,1,Personal Auto,Personal L1,Offer1,Branch,348,Four-Door Car,Medsize,10,0.000220592
No,Basic,Bachelor,Employed,M,53988,Urban,Married,64,10,17,0,1,Personal Auto,Personal L1,Offer4,Agent,207,Two-Door Car,Medsize,10,0.000295804
No,Basic,Master,Medical Leave,F,17193,Suburban,Divorced,66,4,3,0,1,Corporate Auto,Corporate L3,Offer1,Web,317,Four-Door Car,Medsize,10,0.000270031
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,108,19,97,0,9,Corporate Auto,Corporate L3,Offer1,Agent,1260,SUV,Large,61.875,4.284784135
No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,68,13,93,0,1,Personal Auto,Personal L3,Offer1,Branch,436,Two-Door Car,Medsize,10,0.000258199
No,Extended,Bachelor,Employed,M,32245,Rural,Married,124,4,58,0,8,Personal Auto,Personal L2,Offer2,Agent,258,SUV,Medsize,80,0.000216505
Yes,Basic,College,Retired,F,21073,Suburban,Divorced,106,25,54,1,3,Corporate Auto,Corporate L3,Offer1,Agent,509,SUV,Small,62.91666667,4.695594871
No,Basic,College,Employed,M,72211,Rural,Married,73,12,1,0,1,Personal Auto,Personal L3,Offer2,Web,45,Four-Door Car,Medsize,20,0.000245798
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,67,5,53,0,1,Personal Auto,Personal L2,Offer2,Agent,482,Two-Door Car,Medsize,10,0.000277639
No,Basic,High School or Below,Employed,M,32169,Urban,Married,199,0,74,0,1,Personal Auto,Personal L3,Offer4,Call Center,786,Luxury SUV,Medsize,60.83333333,3.004626077
No,Basic,High School or Below,Unemployed,M,0,Urban,Married,67,9,54,0,2,Personal Auto,Personal L3,Offer3,Branch,309,Two-Door Car,Medsize,73.125,13.6787929
No,Premium,High School or Below,Employed,F,74298,Rural,Married,177,9,81,0,1,Corporate Auto,Corporate L1,Offer2,Call Center,162,Sports Car,Medsize,60.83333333,3.227486132
Yes,Extended,Doctor,Employed,M,31278,Suburban,Married,92,24,95,4,1,Personal Auto,Personal L3,Offer1,Branch,442,Two-Door Car,Medsize,20,0.000238048
No,Extended,High School or Below,Employed,F,34317,Urban,Married,78,6,32,2,1,Personal Auto,Personal L3,Offer2,Web,264,Two-Door Car,Medsize,20,0.000277639
No,Extended,Bachelor,Employed,F,42240,Rural,Married,79,25,10,0,2,Personal Auto,Personal L3,Offer3,Agent,46,Four-Door Car,Medsize,76.66666667,8.936504416
Yes,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L2,Offer2,Branch,468,Two-Door Car,Medsize,38.22916667,4.610478336
Yes,Basic,Bachelor,Employed,M,36088,Suburban,Single,72,16,31,0,9,Personal Auto,Personal L3,Offer1,Agent,346,Four-Door Car,Medsize,50,0.000223607
No,Basic,Bachelor,Unemployed,M,0,Suburban,Divorced,65,1,30,0,2,Personal Auto,Personal L2,Offer4,Agent,360,Four-Door Car,Medsize,67.08333333,12.95692651
No,Premium,Bachelor,Unemployed,F,0,Suburban,Married,115,12,17,1,2,Personal Auto,Personal L2,Offer1,Agent,552,Four-Door Car,Medsize,83.75,4.84122919
No,Premium,Bachelor,Medical Leave,F,14108,Suburban,Married,109,27,88,0,1,Personal Auto,Personal L1,Offer1,Call Center,523,Four-Door Car,Small,30,0.000245798
No,Extended,College,Medical Leave,M,11033,Suburban,Married,97,27,18,0,2,Special Auto,Special L1,Offer1,Branch,511,Two-Door Car,Large,80.52083333,5.666321993
No,Basic,Bachelor,Employed,M,85896,Rural,Married,70,28,27,0,3,Personal Auto,Personal L3,Offer2,Call Center,49,Four-Door Car,Medsize,50,0.000258199
No,Basic,Bachelor,Employed,M,55705,Rural,Divorced,113,8,58,0,2,Personal Auto,Personal L3,Offer2,Branch,150,SUV,Medsize,84.375,5.064685748
No,Basic,Master,Employed,M,49833,Suburban,Married,69,5,74,0,7,Personal Auto,Personal L3,Offer3,Agent,331,Four-Door Car,Small,50,0.000254132
No,Basic,Bachelor,Unemployed,F,0,Rural,Divorced,61,11,6,1,1,Corporate Auto,Corporate L2,Offer1,Web,31,Four-Door Car,Medsize,10,0.000281366
No,Extended,College,Unemployed,M,0,Suburban,Single,83,21,67,0,8,Personal Auto,Personal L2,Offer1,Branch,946,Four-Door Car,Medsize,48.75,3.307189153
No,Extended,Bachelor,Employed,M,35461,Rural,Married,95,26,57,1,1,Corporate Auto,Corporate L3,Offer1,Agent,9,Four-Door Car,Medsize,27.91666667,4.228704829
No,Extended,High School or Below,Employed,F,45473,Rural,Married,76,10,29,0,2,Special Auto,Special L2,Offer4,Branch,189,Two-Door Car,Medsize,86.25,7.894706388
No,Extended,Bachelor,Employed,M,73268,Rural,Married,137,30,35,0,3,Personal Auto,Personal L3,Offer3,Agent,41,SUV,Medsize,80,0.000266145
No,Extended,College,Unemployed,M,0,Suburban,Divorced,87,16,41,1,2,Personal Auto,Personal L3,Offer1,Agent,418,Four-Door Car,Large,75.72916667,10.23540204
No,Basic,High School or Below,Employed,M,60120,Urban,Married,182,30,21,0,6,Personal Auto,Personal L3,Offer2,Branch,716,Luxury Car,Medsize,87.08333333,4.695594869
Yes,Basic,College,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L2,Offer2,Agent,209,Four-Door Car,Medsize,10,0.00021164
No,Basic,Bachelor,Employed,M,48885,Suburban,Married,190,31,90,0,9,Personal Auto,Personal L3,Offer3,Web,1090,Luxury Car,Medsize,88.75,3.307189151
Yes,Basic,Bachelor,Employed,M,92296,Suburban,Married,69,4,65,0,1,Personal Auto,Personal L1,Offer2,Agent,331,Two-Door Car,Medsize,18.33333333,3.908679808
No,Basic,Master,Unemployed,M,0,Suburban,Married,72,0,93,3,1,Personal Auto,Personal L3,Offer4,Call Center,346,Two-Door Car,Small,13.75,4.841229189
No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,73,14,74,0,8,Personal Auto,Personal L3,Offer1,Call Center,351,Four-Door Car,Large,46.25,4.84122919
No,Basic,Bachelor,Employed,F,49185,Rural,Married,61,11,92,0,8,Corporate Auto,Corporate L3,Offer3,Branch,127,Two-Door Car,Medsize,40,0.000273862
No,Basic,College,Employed,F,56457,Rural,Single,73,27,68,0,2,Personal Auto,Personal L2,Offer3,Web,138,Four-Door Car,Large,73.75,10.82531755
No,Extended,Bachelor,Unemployed,M,0,Rural,Married,87,3,43,0,1,Personal Auto,Personal L3,Offer1,Agent,132,Four-Door Car,Medsize,20,0.000266145
No,Basic,Bachelor,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,193,Four-Door Car,Medsize,50,0.000254133
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,136,13,28,0,4,Personal Auto,Personal L3,Offer1,Agent,979,SUV,Medsize,72.5,4.330127028
No,Basic,High School or Below,Employed,M,63775,Urban,Married,100,29,3,0,3,Corporate Auto,Corporate L1,Offer2,Call Center,463,SUV,Small,67.08333333,5.319643897
No,Extended,High School or Below,Employed,F,39102,Rural,Married,88,11,98,0,2,Personal Auto,Personal L3,Offer3,Agent,152,Four-Door Car,Medsize,85,7.071067817
No,Basic,College,Employed,M,29038,Rural,Married,69,14,61,0,1,Personal Auto,Personal L2,Offer2,Branch,56,Four-Door Car,Medsize,18.4375,3.736956491
No,Basic,College,Disabled,F,14616,Suburban,Married,107,22,73,0,3,Personal Auto,Personal L3,Offer1,Agent,514,SUV,Medsize,69.0625,3.045873242
No,Basic,High School or Below,Employed,M,55964,Suburban,Divorced,69,20,0,0,1,Personal Auto,Personal L2,Offer2,Branch,497,Four-Door Car,Medsize,16.25,4.841229191
Yes,Basic,High School or Below,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Personal Auto,Personal L1,Offer2,Call Center,480,SUV,Medsize,89.375,2.997394717
No,Extended,College,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,26,Two-Door Car,Large,77.5,12.99038106
No,Basic,College,Unemployed,M,0,Suburban,Single,67,17,4,0,4,Personal Auto,Personal L3,Offer2,Agent,482,Four-Door Car,Medsize,32.5,5.000000009
No,Basic,College,Employed,F,54189,Rural,Married,62,11,84,0,3,Personal Auto,Personal L1,Offer1,Agent,29,Two-Door Car,Medsize,40,0.00025
No,Basic,Bachelor,Employed,F,83235,Suburban,Married,70,16,33,0,2,Personal Auto,Personal L3,Offer2,Agent,336,Two-Door Car,Medsize,81.875,10.87930949
No,Basic,College,Employed,F,52220,Suburban,Married,70,17,42,1,5,Personal Auto,Personal L2,Offer1,Call Center,336,Four-Door Car,Small,42.5,4.330127027
No,Basic,Master,Employed,M,41775,Rural,Married,109,11,80,0,2,Personal Auto,Personal L3,Offer1,Web,105,Sports Car,Medsize,83.75,4.841229191
Yes,Basic,College,Employed,M,50825,Urban,Married,102,3,46,0,3,Corporate Auto,Corporate L3,Offer1,Agent,370,SUV,Medsize,70,0.000266145
No,Basic,High School or Below,Employed,F,69186,Urban,Single,69,24,16,0,3,Personal Auto,Personal L3,Offer2,Agent,193,Four-Door Car,Small,45,5.000000005
No,Basic,Doctor,Employed,F,79719,Suburban,Single,71,12,87,0,6,Personal Auto,Personal L3,Offer1,Agent,426,Four-Door Car,Small,50,0.00025843
No,Extended,High School or Below,Employed,F,37940,Urban,Married,129,11,36,0,1,Special Auto,Special L3,Offer1,Branch,513,SUV,Medsize,40.9375,3.045873247
No,Extended,Bachelor,Unemployed,M,0,Urban,Married,84,0,57,0,5,Personal Auto,Personal L2,Offer3,Branch,396,Four-Door Car,Medsize,50,4.409585525
No,Basic,College,Unemployed,F,0,Suburban,Single,119,20,89,3,1,Personal Auto,Personal L2,Offer1,Web,857,Sports Car,Medsize,29.58333333,2.319901833
No,Basic,Bachelor,Unemployed,F,0,Suburban,Married,70,28,77,1,3,Personal Auto,Personal L1,Offer1,Branch,336,Two-Door Car,Small,35,5.000000007
Yes,Extended,High School or Below,Employed,M,34498,Suburban,Single,83,30,72,0,7,Personal Auto,Personal L1,Offer2,Branch,398,Two-Door Car,Small,50,0.000266146
No,Basic,College,Employed,M,70047,Rural,Married,71,6,37,0,1,Personal Auto,Personal L1,Offer2,Web,108,Two-Door Car,Medsize,20,0.000258199
No,Basic,Master,Employed,M,62448,Suburban,Married,107,0,11,0,2,Personal Auto,Personal L3,Offer1,Branch,514,SUV,Medsize,82.5,4.330127026
No,Basic,Doctor,Employed,F,22241,Suburban,Married,63,1,1,0,6,Personal Auto,Personal L3,Offer2,Web,343,Four-Door Car,Medsize,40,0.000295804
No,Extended,Bachelor,Employed,F,57245,Suburban,Single,124,25,15,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,682,Sports Car,Small,86,4.949747476
No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,130,3,46,0,3,Personal Auto,Personal L3,Offer2,Agent,624,Sports Car,Medsize,74.58333333,5.120085727
No,Extended,Bachelor,Employed,M,87454,Rural,Married,89,30,88,0,6,Personal Auto,Personal L3,Offer1,Call Center,61,Four-Door Car,Medsize,55,13.22875656
No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,79,28,94,0,1,Personal Auto,Personal L2,Offer1,Branch,509,Four-Door Car,Medsize,20,0.000306186
Yes,Basic,College,Unemployed,F,0,Suburban,Married,66,16,77,0,2,Corporate Auto,Corporate L2,Offer2,Agent,317,Four-Door Car,Medsize,64.16666667,8.457409641
No,Premium,High School or Below,Unemployed,F,0,Suburban,Married,165,16,43,0,3,Personal Auto,Personal L3,Offer3,Call Center,792,SUV,Medsize,80,0.000285775
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,66,1,61,0,9,Corporate Auto,Corporate L3,Offer2,Web,758,Four-Door Car,Small,36.04166667,5.331868296
No,Extended,Doctor,Disabled,M,23202,Suburban,Divorced,96,29,59,0,2,Personal Auto,Personal L1,Offer3,Call Center,461,Four-Door Car,Medsize,82.5,6.614378283
Yes,Basic,Master,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Personal L2,Offer1,Agent,158,Sports Car,Medsize,70,0.000268096
No,Basic,College,Unemployed,M,0,Suburban,Single,184,0,94,0,9,Personal Auto,Personal L3,Offer2,Agent,1395,Luxury SUV,Medsize,80.625,2.755990962
Yes,Extended,Bachelor,Employed,F,33806,Urban,Divorced,89,32,59,0,2,Corporate Auto,Corporate L3,Offer2,Web,396,Four-Door Car,Medsize,90,0.000264182
No,Basic,Bachelor,Employed,M,62039,Urban,Married,68,8,30,1,8,Personal Auto,Personal L2,Offer3,Call Center,266,Four-Door Car,Medsize,42.08333333,4.389855738
No,Extended,High School or Below,Employed,F,28304,Suburban,Married,91,10,30,2,1,Personal Auto,Personal L2,Offer2,Agent,655,Four-Door Car,Medsize,23.29166667,5.205332475
No,Basic,College,Unemployed,F,0,Suburban,Single,113,12,66,2,7,Personal Auto,Personal L3,Offer1,Call Center,734,Sports Car,Medsize,65.41666667,5.120085728
Yes,Extended,High School or Below,Employed,F,57693,Suburban,Divorced,76,16,56,0,3,Personal Auto,Personal L3,Offer2,Agent,547,Four-Door Car,Medsize,50,0.00025
No,Basic,High School or Below,Employed,F,24860,Suburban,Married,73,2,35,0,8,Personal Auto,Personal L2,Offer4,Web,350,Four-Door Car,Large,50,0.00025
Yes,Basic,Master,Employed,M,56005,Suburban,Married,68,31,30,1,3,Personal Auto,Personal L3,Offer1,Branch,326,Four-Door Car,Small,50,0.000232738
Yes,Premium,College,Employed,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L3,Offer2,Branch,528,Four-Door Car,Medsize,30.41666667,2.31990183
Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Personal L1,Offer2,Agent,178,Sports Car,Medsize,70,0.000286866
No,Basic,Bachelor,Employed,F,50738,Suburban,Divorced,71,11,48,0,1,Personal Auto,Personal L1,Offer3,Agent,344,Four-Door Car,Large,20,0.000245798
No,Basic,Bachelor,Employed,M,30735,Suburban,Married,63,4,43,0,7,Personal Auto,Personal L3,Offer1,Agent,307,Two-Door Car,Small,40,0.000256986
Yes,Premium,Master,Disabled,F,16181,Suburban,Divorced,181,22,79,0,8,Personal Auto,Personal L2,Offer1,Web,1261,SUV,Medsize,80,0.000206659
No,Basic,Bachelor,Employed,F,57933,Suburban,Married,105,10,64,0,1,Personal Auto,Personal L3,Offer1,Call Center,533,SUV,Small,30,0.000262202
